Date,open,high,low,close,volume,overnightSHIBOR,CPI,GDP,PPI
7/1/2010,2557.92,2574.098,2524.573,2526.071,3285764600,2.2492,-0.6,99532.4,-0.3
7/2/2010,2523.035,2542.122,2462.202,2534.105,4491410000,2.1942,-0.6,99532.4,-0.3
7/5/2010,2507.354,2529.425,2476.49,2512.651,3217857400,2.165,-0.6,99532.4,-0.3
7/6/2010,2504.869,2563.411,2502.931,2562.902,3971476200,2.1567,-0.6,99532.4,-0.3
7/7/2010,2561.106,2580.608,2548.559,2580.477,3572090900,2.1291,-0.6,99532.4,-0.3
7/8/2010,2591.509,2602.23,2564.638,2575.921,3405696600,1.9842,-0.6,99532.4,-0.3
7/9/2010,2578.555,2662.163,2557.259,2647.104,5849304500,1.7206,-0.6,99532.4,-0.3
7/12/2010,2647.421,2689.809,2636.648,2676.218,5846249100,1.6916,-0.6,99532.4,-0.3
7/13/2010,2649.658,2649.658,2618.34,2634.593,4322850600,1.6479,-0.6,99532.4,-0.3
7/14/2010,2640.925,2684.616,2640.542,2653.609,4668886000,1.5186,-0.6,99532.4,-0.3
7/15/2010,2650.334,2680.442,2607.788,2608.519,4044045900,1.4608,-0.6,99532.4,-0.3
7/16/2010,2597,2621.332,2573.794,2616.128,3506330200,1.4433,-0.6,99532.4,-0.3
7/19/2010,2592.087,2691.937,2585.007,2682.472,5386807000,1.4442,-0.6,99532.4,-0.3
7/20/2010,2685.459,2746.237,2685.459,2741.503,7312834500,1.4763,-0.6,99532.4,-0.3
7/21/2010,2744.696,2766.205,2733.721,2747.335,7075709200,1.4729,-0.6,99532.4,-0.3
7/22/2010,2738.027,2783.138,2734.071,2781.286,6106480600,1.4483,-0.6,99532.4,-0.3
7/23/2010,2787.521,2806.979,2769.44,2793.076,6451856500,1.4275,-0.6,99532.4,-0.3
7/26/2010,2798.762,2811.953,2775.778,2811.055,5358002600,1.4679,-0.6,99532.4,-0.3
7/27/2010,2803.755,2812.208,2785.374,2795.724,4979988400,1.4404,-0.6,99532.4,-0.3
7/28/2010,2796.483,2866.404,2784.155,2863.724,7998595400,1.4433,-0.6,99532.4,-0.3
7/29/2010,2866.772,2888.599,2851.996,2877.976,9596540900,1.4446,-0.6,99532.4,-0.3
7/30/2010,2871.481,2876.136,2844.682,2868.846,6257559100,1.4696,-0.6,99532.4,-0.3
8/2/2010,2868.279,2922.612,2867.45,2917.275,7174330000,1.4696,0.4,99532.4,-0.4
8/3/2010,2925.254,2929.614,2865.761,2865.971,8174836400,1.4675,0.4,99532.4,-0.4
8/4/2010,2858.354,2876.595,2818.248,2876.434,7131803900,1.4729,0.4,99532.4,-0.4
8/5/2010,2874.66,2877.31,2833.669,2850.829,6715758100,1.4725,0.4,99532.4,-0.4
8/6/2010,2848.155,2898.534,2821.033,2897.659,7491489500,1.4692,0.4,99532.4,-0.4
8/9/2010,2894.103,2922.624,2888.045,2918.241,7472639100,1.4658,0.4,99532.4,-0.4
